Scan Type,State/Territory,All Scans,Executive Order Number,Executive Order Year Enacted,Executive Order Summary,Executive Order Last Topic tag(s),Executive Order Last Updated,Executive Order Record URL,Bill Number,Legislative Session,Bill Title,Bill Summary,Bill Action tag(s) [multi],Bill Action tag(s) text,Bill Topic Tag(s) [multi],Bill Topic Tag(s) text,Bill Status,Bill Link,Bill Last Updated,Bill Record URL
Executive Order,Rhode Island,Executive Order 18-02 (2018),Executive Order 18-02 (2018),2018,EO 18-02 (2018) by Gov. Gina Raimondo re: requirement that all future contracts for fixed or mobile broadband internet access services be awarded only to service providers that adhere to net neutrality principles,net neutrality,9/3/2025 11:29am,https://airtable.com/appo1YECtG1ULR8vU/shrEIsJmUwXgiGlIT/tblFh8L3QnynXlssD/rec8LHRzSpiSQKOjt,,,,,,,,,,,,
Executive Order,Rhode Island,Executive Order 15-10 (2015),Executive Order 15-10 (2015),2015,EO 15-10 (2015) by Gov. Gina Raimondo re: establishment of the Cybersecurity Commission to coordinate and promote various cybersecurity activities across the state,cybersecurity,9/25/2025 6:27am,https://airtable.com/appo1YECtG1ULR8vU/shrEIsJmUwXgiGlIT/tblFh8L3QnynXlssD/recLv28lASErezod3,,,,,,,,,,,,
Executive Order,Rhode Island,Executive Order 13-01 (2013),Executive Order 13-01 (2013),2013,EO 13-01 (2013) by Gov. Lincoln Chafee re: establishment of the Governor's Transparency and Accountability Initiative to (among other things) ensure state agencies post a greater breadth of information online and make such information easier to find,website/portal,9/25/2025 6:27am,https://airtable.com/appo1YECtG1ULR8vU/shrEIsJmUwXgiGlIT/tblFh8L3QnynXlssD/rec4d0Rrg4MugM3mi,,,,,,,,,,,,
Executive Order,Rhode Island,Executive Order 15-13 (2015),Executive Order 15-13 (2015),2015,EO 15-13 (2015) by Gov. Gina Raimondo re: establishment of the Working Group for Healthcare Innovation to (among other things) promote the adoption of next-generation healthcare information technology,"public health, information technology",9/25/2025 6:27am,https://airtable.com/appo1YECtG1ULR8vU/shrEIsJmUwXgiGlIT/tblFh8L3QnynXlssD/recplIyXHZZTHBoSf,,,,,,,,,,,,
Executive Order,Rhode Island,Executive Order 13-01 (2013),Executive Order 13-01 (2013),2013,EO 13-01 (2013) by Gov. Lincoln Chafee re: establishment of the Governor's Transparency and Accountability Initiative to (among other things) ensure state agencies post a greater breadth of information online and make such information easier to find,website/portal,9/3/2025 11:31am,https://airtable.com/appo1YECtG1ULR8vU/shrEIsJmUwXgiGlIT/tblFh8L3QnynXlssD/rec4d0Rrg4MugM3mi,,,,,,,,,,,,
Executive Order,South Carolina,Executive Order 2022-03 (2022),Executive Order 2022-03 (2022),2022,EO 2022-03 (2022) by Gov. Henry McMaster re: implementation of the information technology shared services plan and directive to state agencies to use shared services offered by the Office of Technology and Information Services,"information technology, shared services",9/25/2025 6:27am,https://airtable.com/appo1YECtG1ULR8vU/shrEIsJmUwXgiGlIT/tblFh8L3QnynXlssD/recvothem4F71sr7J,,,,,,,,,,,,
Executive Order,South Carolina,Executive Order 2022-27 (2022),Executive Order 2022-27 (2022),2022,EO 2022-27 (2022) by Gov. Henry McMaster re: formalization of the South Carolina Cybersecurity Ecosystem Coordination Initiative to coordinate collaboration between critical stakeholders across the state's cyber ecosystem,cybersecurity,9/3/2025 11:31am,https://airtable.com/appo1YECtG1ULR8vU/shrEIsJmUwXgiGlIT/tblFh8L3QnynXlssD/recz3HjKxKFTtBThd,,,,,,,,,,,,
Executive Order,South Carolina,Executive Order 2022-03 (2022),Executive Order 2022-03 (2022),2022,EO 2022-03 (2022) by Gov. Henry McMaster re: implementation of the information technology shared services plan and directive to state agencies to use shared services offered by the Office of Technology and Information Services,"information technology, shared services",9/3/2025 11:31am,https://airtable.com/appo1YECtG1ULR8vU/shrEIsJmUwXgiGlIT/tblFh8L3QnynXlssD/recvothem4F71sr7J,,,,,,,,,,,,
Executive Order,South Carolina,Executive Order 2017-08 (2017),Executive Order 2017-08 (2017),2017,"EO 2017-08 (2017) by Gov. Henry McMaster re: establishment of the South Carolina Critical Infrastructure Cybersecurity Executive Oversight Group to share cybersecurity information and prevent cyber threats, incidents, and attacks",cybersecurity,9/25/2025 6:27am,https://airtable.com/appo1YECtG1ULR8vU/shrEIsJmUwXgiGlIT/tblFh8L3QnynXlssD/recHT6OGS2B2Jt6aU,,,,,,,,,,,,
Executive Order,South Carolina,Executive Order 2017-08 (2017),Executive Order 2017-08 (2017),2017,"EO 2017-08 (2017) by Gov. Henry McMaster re: establishment of the South Carolina Critical Infrastructure Cybersecurity Executive Oversight Group to share cybersecurity information and prevent cyber threats, incidents, and attacks",cybersecurity,9/3/2025 11:30am,https://airtable.com/appo1YECtG1ULR8vU/shrEIsJmUwXgiGlIT/tblFh8L3QnynXlssD/recHT6OGS2B2Jt6aU,,,,,,,,,,,,
Executive Order,South Carolina,Executive Order 2022-27 (2022),Executive Order 2022-27 (2022),2022,EO 2022-27 (2022) by Gov. Henry McMaster re: formalization of the South Carolina Cybersecurity Ecosystem Coordination Initiative to coordinate collaboration between critical stakeholders across the state's cyber ecosystem,cybersecurity,9/25/2025 6:27am,https://airtable.com/appo1YECtG1ULR8vU/shrEIsJmUwXgiGlIT/tblFh8L3QnynXlssD/recz3HjKxKFTtBThd,,,,,,,,,,,,
Legislation,Tennessee,S 1711,,,,,,,S 1711,2024,Use of Artificial Intelligence Technology by Students ,"Requires the governing board of each public institution of higher education to promulgate rules and requires each local board of education and governing body of a public charter school to adopt a policy, regarding the use of AI technology by students, teachers, faculty and staff for instructional and assignment purposes. ","regulate use - government,oversight/governence","regulate use - government, oversight/governence","artificial intelligence,education","artificial intelligence, education",Enacted,https://custom.statenet.com/public/resources.cgi?id=ID:bill:TN2023000S1711&cuiq=93d84396-c63b-526a-b152-38b7f79b4cfd&client_md=e4f6fea4-27b4-5d41-b7d3-766fe52569f0,9/3/2025 12:36pm,https://airtable.com/appo1YECtG1ULR8vU/shrhz4YBjRjvAS4hF/tbl2tL08FmzPrXgT2/recJ0TwaTMbb4oFBu
Executive Order,Texas,Executive Order RP-80 (2014),Executive Order RP-80 (2014),2014,EO RP-80 (2014) by Gov. Rick Perry re: mandate for all executive branch agencies to use E-Verify to determine the employment eligibility of applicants for state jobs,"eligibility verification, immigration/citizenship",9/3/2025 11:30am,https://airtable.com/appo1YECtG1ULR8vU/shrEIsJmUwXgiGlIT/tblFh8L3QnynXlssD/recBjLPNPmvy61JP8,,,,,,,,,,,,
Executive Order,Texas,Executive Order RP-80 (2014),Executive Order RP-80 (2014),2014,EO RP-80 (2014) by Gov. Rick Perry re: mandate for all executive branch agencies to use E-Verify to determine the employment eligibility of applicants for state jobs,"eligibility verification, immigration/citizenship",9/25/2025 6:27am,https://airtable.com/appo1YECtG1ULR8vU/shrEIsJmUwXgiGlIT/tblFh8L3QnynXlssD/recBjLPNPmvy61JP8,,,,,,,,,,,,
Legislation,Texas,S 64,,,,,,,S 64,2019,Cybersecurity for Information Resources,"Each state agency and local government shall, in the administration of the agency or local government, consider using next generation technologies, including cryptocurrency, blockchain technology, and artificial intelligence.",regulate use - government,regulate use - government,"artificial intelligence,blockchain","artificial intelligence, blockchain",Enacted,https://custom.statenet.com/public/resources.cgi?id=ID:bill:TX2019000S64&ciq=ncsl&client_md=7854074badb886ea26f880a66b25ebd0&mode=current_text,9/3/2025 12:31pm,https://airtable.com/appo1YECtG1ULR8vU/shrhz4YBjRjvAS4hF/tbl2tL08FmzPrXgT2/recGHdFHNbuZ35Pif
Legislation,Texas,S 2085,,,,,,,S 2085,2023,Grant Program for Crime Victim Notification Systems ,"Provides that the Criminal Justice Division shall establish and administer a grant program to provide financial assistance to a law enforcement agency for purposes of purchasing or developing a crime victim notification system, provides that the division shall, among other things, establish eligibility criteria for grant applicants and grant application procedures, provides that a crime victim notification system for which a law enforcement agency seeks a grant must meet specified requirements. ",regulate use - government,regulate use - government,"artificial intelligence,criminal/legal system","artificial intelligence, criminal/legal system",Enacted,https://custom.statenet.com/public/resources.cgi?id=ID:bill:TX2023000S2085&ciq=ncsl&client_md=d7292774483e1a60689f1cdaff8a42f8&mode=current_text,9/3/2025 12:33pm,https://airtable.com/appo1YECtG1ULR8vU/shrhz4YBjRjvAS4hF/tbl2tL08FmzPrXgT2/rec2DKJvWa33chmms
Legislation,Texas,H 2060,,,,,,,H 2060,2023,Artificial Intelligence Advisory Council ,Relates to the creation of the artificial intelligence advisory council. ,"regulate use - government,task force/working group/commission/etc,study","regulate use - government, task force/working group/commission/etc, study",artificial intelligence,artificial intelligence,Enacted,https://custom.statenet.com/public/resources.cgi?id=ID:bill:TX2023000H2060&ciq=ncsl&client_md=7f917a24ed4a10a5df71df259c5b47ef&mode=current_text,9/3/2025 12:33pm,https://airtable.com/appo1YECtG1ULR8vU/shrhz4YBjRjvAS4hF/tbl2tL08FmzPrXgT2/recnUAhlj9cSM0MJc
Legislation,U.S. Virgin Islands,B 131,,,,,,,B 131,2024,Real Time Crime Center ,Amends specified title of the state code to establish a Real Time Crime Center Centralized Crime Data System within the State Police Department. ,regulate use - government,regulate use - government,"artificial intelligence,criminal/legal system","artificial intelligence, criminal/legal system",Enacted,forthcoming,9/3/2025 12:37pm,https://airtable.com/appo1YECtG1ULR8vU/shrhz4YBjRjvAS4hF/tbl2tL08FmzPrXgT2/recXgVfwc8kUSO9v2
Executive Order,Utah,Executive Order 2014-10 (2014),Executive Order 2014-10 (2014),2014,EO 2014-10 (2014) by Gov. Gary Herbert re: re-establishment of the Utah Futures Steering Committee to govern UtahFutures.org to ensure (among other things) the effectiveness and usefulness of the website for users,website/portal,9/25/2025 6:27am,https://airtable.com/appo1YECtG1ULR8vU/shrEIsJmUwXgiGlIT/tblFh8L3QnynXlssD/recXbQZn0JFBHQuKO,,,,,,,,,,,,
Executive Order,Utah,Executive Order 2023-06 (2023),Executive Order 2023-06 (2023),2023,EO 2023-06 (2023) by Gov. Spencer Cox re: directive to the Chief Privacy Officer to develop a strategic privacy plan that includes (among other things) recommendations to state agencies on baseline practices for protecting the personal data of those they serve,data privacy,9/3/2025 11:31am,https://airtable.com/appo1YECtG1ULR8vU/shrEIsJmUwXgiGlIT/tblFh8L3QnynXlssD/recuwOcJdrMrsF5P8,,,,,,,,,,,,
Executive Order,Utah,Executive Order 2023-06 (2023),Executive Order 2023-06 (2023),2023,EO 2023-06 (2023) by Gov. Spencer Cox re: directive to the Chief Privacy Officer to develop a strategic privacy plan that includes (among other things) recommendations to state agencies on baseline practices for protecting the personal data of those they serve,data privacy,9/25/2025 6:27am,https://airtable.com/appo1YECtG1ULR8vU/shrEIsJmUwXgiGlIT/tblFh8L3QnynXlssD/recuwOcJdrMrsF5P8,,,,,,,,,,,,
Executive Order,Utah,Executive Order 2014-10 (2014),Executive Order 2014-10 (2014),2014,"EO 2014-10 (2014) by Gov. Raymond S. Tenorio (rescinded, 2022) re: re-establishment of the Guam Interoperable Communications Working Group to support the design, implementation, and maintenance of the Guam Public Safety Communications system, including the Public Broadband Safety Network","interoperability, public safety, broadband",9/3/2025 2:56pm,https://airtable.com/appo1YECtG1ULR8vU/shrEIsJmUwXgiGlIT/tblFh8L3QnynXlssD/rec9Y8OFt4G6GXVc1,,,,,,,,,,,,
Legislation,Utah,H 366,,,,,,,H 366,2024,Criminal Justice Amendments ,"Amends provisions regarding the chair of a Criminal Justice Coordinating Council; amends the crime for an escape; moves the crime for an aggravated escape to a separate statute; addresses the use of an algorithm or a risk assessment tool score in determinations about pretrial release, diversion, sentencing, probation and parole; relates to pretrial risk assessment tools; provides that the court may not rely solely on an algorithm or a risk assessment tool score when making any decision regarding probation. ",regulate use - government,regulate use - government,"artificial intelligence,criminal/legal system","artificial intelligence, criminal/legal system",Enacted,https://custom.statenet.com/public/resources.cgi?id=ID:bill:UT2024000H366&cuiq=93d84396-c63b-526a-b152-38b7f79b4cfd&client_md=e4f6fea4-27b4-5d41-b7d3-766fe52569f0,9/3/2025 12:36pm,https://airtable.com/appo1YECtG1ULR8vU/shrhz4YBjRjvAS4hF/tbl2tL08FmzPrXgT2/recfgnCI8Od2LpjpP
Legislation,Utah,H 61,,,,,,,H 61,2023,School Safety Requirements ,"Relates to school safety and security issues; creates a state security chief position within the Department of Public Safety; requires each county sheriff to identify an individual within the sheriff’s office to coordinate between the county sheriff’s office, the state security chief, and certain police chiefs within the county; creates the School Security Task Force; requires the task force to develop the qualifications, duties and scope of authority of the state security chief; appropriates funds. ","regulate use - government,appropriation","regulate use - government, appropriation","artificial intelligence,public safety","artificial intelligence, public safety",Enacted,https://custom.statenet.com/public/resources.cgi?id=ID:bill:UT2023000H61&cuiq=93d84396-c63b-526a-b152-38b7f79b4cfd&client_md=e4f6fea4-27b4-5d41-b7d3-766fe52569f0,9/3/2025 12:33pm,https://airtable.com/appo1YECtG1ULR8vU/shrhz4YBjRjvAS4hF/tbl2tL08FmzPrXgT2/recOqyPZboHwgKqPq
Executive Order,Vermont,Executive Order 06-17 (2017),Executive Order 06-17 (2017),2017,EO 06-17 (2017) by Gov. Phil Scott re: creation of the Agency of Digital Services to succeed and continue the Department of Information and Innovation,digital service team,9/25/2025 6:27am,https://airtable.com/appo1YECtG1ULR8vU/shrEIsJmUwXgiGlIT/tblFh8L3QnynXlssD/rec1aCCWp33OV8LcV,,,,,,,,,,,,
Executive Order,Vermont,Executive Order 02-13 (2013),Executive Order 02-13 (2013),2013,EO 02-13 (2013) by Gov. Peter Shumlin re: transfer of technology positions to the Department of Information and Innovation,administrative reorganization,9/25/2025 6:27am,https://airtable.com/appo1YECtG1ULR8vU/shrEIsJmUwXgiGlIT/tblFh8L3QnynXlssD/recz34Fb0GJxsWVEL,,,,,,,,,,,,
Executive Order,Vermont,Executive Order 04-17 (2017),Executive Order 04-17 (2017),2017,EO 04-17 (2017) by Gov. Phil Scott re: creation of a Program to Improve Vermont Outcomes Together (PIVOT) which (among other things) directs all agencies to work with the the Government Modernization and Efficiency Team,administrative reorganization,9/3/2025 11:30am,https://airtable.com/appo1YECtG1ULR8vU/shrEIsJmUwXgiGlIT/tblFh8L3QnynXlssD/reckhIRpPZAxLL1WB,,,,,,,,,,,,
Executive Order,Vermont,Executive Order 04-21 (2021),Executive Order 04-21 (2021),2021,"EO 04-21 (2021) by Gov. Phil Scott re: directive to modernize permitting with the aims of optimizing total permitting time, modernizing and coordinating permitting processes, and better utilizing technology to improve both oversight and efficiency","case/application processing, technology modernization",9/25/2025 6:27am,https://airtable.com/appo1YECtG1ULR8vU/shrEIsJmUwXgiGlIT/tblFh8L3QnynXlssD/recZZgVzKmb75rp60,,,,,,,,,,,,
Executive Order,Vermont,Executive Order 06-17 (2017),Executive Order 06-17 (2017),2017,EO 06-17 (2017) by Gov. Phil Scott re: creation of the Agency of Digital Services to succeed and continue the Department of Information and Innovation,digital service team,9/3/2025 11:30am,https://airtable.com/appo1YECtG1ULR8vU/shrEIsJmUwXgiGlIT/tblFh8L3QnynXlssD/rec1aCCWp33OV8LcV,,,,,,,,,,,,
Executive Order,Vermont,Executive Order 18-17 (2017),Executive Order 18-17 (2017),2017,"EO 18-17 (2017) by Gov. Phil Scott re: establishment of the Governor’s Cybersecurity Advisory Team to develop a plan for and evaluate the state's cybersecurity readiness and coordinate cybersecurity efforts across public, private, nonprofit, and academic stakeholders",cybersecurity,9/3/2025 11:30am,https://airtable.com/appo1YECtG1ULR8vU/shrEIsJmUwXgiGlIT/tblFh8L3QnynXlssD/recosxz3Y1HED6pPQ,,,,,,,,,,,,
Executive Order,Vermont,Executive Order 04-21 (2021),Executive Order 04-21 (2021),2021,"EO 04-21 (2021) by Gov. Phil Scott re: directive to modernize permitting with the aims of optimizing total permitting time, modernizing and coordinating permitting processes, and better utilizing technology to improve both oversight and efficiency","case/application processing, technology modernization",9/3/2025 11:32am,https://airtable.com/appo1YECtG1ULR8vU/shrEIsJmUwXgiGlIT/tblFh8L3QnynXlssD/recZZgVzKmb75rp60,,,,,,,,,,,,
Executive Order,Vermont,Executive Order 03-17 (2017),Executive Order 03-17 (2017),2017,EO 03-17 (2017) by Gov. Phil Scott re: creation of the Governor’s Government Modernization and Efficiency Team as a dedicated team of state operational professionals and private sector business and technology leaders to support successful implementation of modernization change efforts in the state,"technology modernization, digital service team",9/3/2025 11:30am,https://airtable.com/appo1YECtG1ULR8vU/shrEIsJmUwXgiGlIT/tblFh8L3QnynXlssD/recq37U0BVd64Q896,,,,,,,,,,,,
Executive Order,Vermont,Executive Order 06-13 (2013),Executive Order 06-13 (2013),2013,EO 06-13 (2013) by Gov. Peter Shumlin re: establishment of the Coordinating Council for Vermont Interactive Technologies to shape the use of interactive technology for remote teaching applications across the state,education,9/3/2025 11:31am,https://airtable.com/appo1YECtG1ULR8vU/shrEIsJmUwXgiGlIT/tblFh8L3QnynXlssD/recLOvqVlK6Oym1fe,,,,,,,,,,,,
Executive Order,Vermont,Executive Order 04-17 (2017),Executive Order 04-17 (2017),2017,EO 04-17 (2017) by Gov. Phil Scott re: creation of a Program to Improve Vermont Outcomes Together (PIVOT) which (among other things) directs all agencies to work with the the Government Modernization and Efficiency Team,administrative reorganization,9/25/2025 6:27am,https://airtable.com/appo1YECtG1ULR8vU/shrEIsJmUwXgiGlIT/tblFh8L3QnynXlssD/reckhIRpPZAxLL1WB,,,,,,,,,,,,
Executive Order,Vermont,Executive Order 06-13 (2013),Executive Order 06-13 (2013),2013,EO 06-13 (2013) by Gov. Peter Shumlin re: establishment of the Coordinating Council for Vermont Interactive Technologies to shape the use of interactive technology for remote teaching applications across the state,education,9/25/2025 6:27am,https://airtable.com/appo1YECtG1ULR8vU/shrEIsJmUwXgiGlIT/tblFh8L3QnynXlssD/recLOvqVlK6Oym1fe,,,,,,,,,,,,
Executive Order,Vermont,Executive Order 05-13 (2013),Executive Order 05-13 (2013),2013,"EO 05-13 (2013) by Gov. Peter Shumlin re: establishment of the Public Safety Broadband Network Commission to help plan, develop, and implement an interoperable wireless network to support the communications needs of first responders",broadband,9/3/2025 11:31am,https://airtable.com/appo1YECtG1ULR8vU/shrEIsJmUwXgiGlIT/tblFh8L3QnynXlssD/recRmK09OxbhglxF7,,,,,,,,,,,,
Executive Order,Vermont,Executive Order 18-17 (2017),Executive Order 18-17 (2017),2017,"EO 18-17 (2017) by Gov. Phil Scott re: establishment of the Governor’s Cybersecurity Advisory Team to develop a plan for and evaluate the state's cybersecurity readiness and coordinate cybersecurity efforts across public, private, nonprofit, and academic stakeholders",cybersecurity,9/25/2025 6:27am,https://airtable.com/appo1YECtG1ULR8vU/shrEIsJmUwXgiGlIT/tblFh8L3QnynXlssD/recosxz3Y1HED6pPQ,,,,,,,,,,,,
Executive Order,Vermont,Executive Order 02-18 (2018),Executive Order 02-18 (2018),2018,EO 02-18 (2018) by Gov. Phil Scott re: directive to all state agencies that contracts with Internet service providers shall include net neutrality protections,net neutrality,9/3/2025 11:32am,https://airtable.com/appo1YECtG1ULR8vU/shrEIsJmUwXgiGlIT/tblFh8L3QnynXlssD/recuc23UgLltmiw8R,,,,,,,,,,,,
Executive Order,Vermont,Executive Order 02-13 (2013),Executive Order 02-13 (2013),2013,EO 02-13 (2013) by Gov. Peter Shumlin re: transfer of technology positions to the Department of Information and Innovation,administrative reorganization,9/3/2025 11:31am,https://airtable.com/appo1YECtG1ULR8vU/shrEIsJmUwXgiGlIT/tblFh8L3QnynXlssD/recz34Fb0GJxsWVEL,,,,,,,,,,,,
Executive Order,Vermont,Executive Order 02-18 (2018),Executive Order 02-18 (2018),2018,EO 02-18 (2018) by Gov. Phil Scott re: directive to all state agencies that contracts with Internet service providers shall include net neutrality protections,net neutrality,9/25/2025 6:27am,https://airtable.com/appo1YECtG1ULR8vU/shrEIsJmUwXgiGlIT/tblFh8L3QnynXlssD/recuc23UgLltmiw8R,,,,,,,,,,,,
Executive Order,Vermont,Executive Order 05-13 (2013),Executive Order 05-13 (2013),2013,"EO 05-13 (2013) by Gov. Peter Shumlin re: establishment of the Public Safety Broadband Network Commission to help plan, develop, and implement an interoperable wireless network to support the communications needs of first responders",broadband,9/25/2025 6:27am,https://airtable.com/appo1YECtG1ULR8vU/shrEIsJmUwXgiGlIT/tblFh8L3QnynXlssD/recRmK09OxbhglxF7,,,,,,,,,,,,
Executive Order,Vermont,Executive Order 05-19 (2019),Executive Order 05-19 (2019),2019,EO 05-19 (2019) by Gov. Phil Scott re: establishment of the Emergency Communications Advisory Council to (among other things) advise on activities to prepare Vermont’s public safety community for emergency communications technology transitions,"public safety, information technology, interoperability",9/25/2025 6:27am,https://airtable.com/appo1YECtG1ULR8vU/shrEIsJmUwXgiGlIT/tblFh8L3QnynXlssD/recWtY1lAmg6NkVCY,,,,,,,,,,,,
Executive Order,Vermont,Executive Order 03-17 (2017),Executive Order 03-17 (2017),2017,EO 03-17 (2017) by Gov. Phil Scott re: creation of the Governor’s Government Modernization and Efficiency Team as a dedicated team of state operational professionals and private sector business and technology leaders to support successful implementation of modernization change efforts in the state,"technology modernization, digital service team",9/25/2025 6:27am,https://airtable.com/appo1YECtG1ULR8vU/shrEIsJmUwXgiGlIT/tblFh8L3QnynXlssD/recq37U0BVd64Q896,,,,,,,,,,,,
Executive Order,Vermont,Executive Order 05-19 (2019),Executive Order 05-19 (2019),2019,EO 05-19 (2019) by Gov. Phil Scott re: establishment of the Emergency Communications Advisory Council to (among other things) advise on activities to prepare Vermont’s public safety community for emergency communications technology transitions,"public safety, information technology, interoperability",9/3/2025 11:32am,https://airtable.com/appo1YECtG1ULR8vU/shrEIsJmUwXgiGlIT/tblFh8L3QnynXlssD/recWtY1lAmg6NkVCY,,,,,,,,,,,,
Legislation,Vermont,H 410,,,,,,,H 410,2022,Artificial Intelligence Commission,"This act creates the Division of Artificial Intelligence within the Agency of Digital Services to review all aspects of artificial intelligence developed, employed, or procured by state government. This act also creates the position of the director of Artificial Intelligence to administer the Division and the Artificial Intelligence Advisory Council to provide advice and counsel to the director. This act requires the Division of Artificial Intelligence to, among other things, propose a state code of ethics on the use of artificial intelligence in state government and make recommendations to the General Assembly on policies, laws, and regulations of artificial intelligence in state government. The division is also responsible for making various annual recommendations and reporting requirements to the General Assembly on the use of artificial intelligence in state government. This act also requires the Agency of Digital Services to conduct an inventory of all the automated decision systems developed, employed, or procured by state government.","regulate use - government,oversight/governence,study","regulate use - government, oversight/governence, study","artificial intelligence,administrative reorganization,civil rights,digital service team","artificial intelligence, administrative reorganization, civil rights, digital service team",Enacted,https://custom.statenet.com/public/resources.cgi?id=ID:bill:VT2021000H410&ciq=ncsl&client_md=d9744d8eb4dbb213bebb222c496a20a6&mode=current_text,9/3/2025 12:32pm,https://airtable.com/appo1YECtG1ULR8vU/shrhz4YBjRjvAS4hF/tbl2tL08FmzPrXgT2/recb2W9ERLlkiWEnY
Executive Order,Virginia,Executive Order 13-2017 (2017),Executive Order 13-2017 (2017),2017,"EO 13-2017 (2017) by Gov. Terry McAuliffe re: establishment of the Executive Work Group to Advance Smart Communities in Virginia to support the development of ""smart"" cities and communities across the state to (among other things) enhance citizen services through innovation and technology",smart cities,9/25/2025 6:27am,https://airtable.com/appo1YECtG1ULR8vU/shrEIsJmUwXgiGlIT/tblFh8L3QnynXlssD/recGaoI2c0eUVxC4y,,,,,,,,,,,,
Executive Order,Virginia,Executive Order 13-2017 (2017),Executive Order 13-2017 (2017),2017,"EO 13-2017 (2017) by Gov. Terry McAuliffe re: establishment of the Executive Work Group to Advance Smart Communities in Virginia to support the development of ""smart"" cities and communities across the state to (among other things) enhance citizen services through innovation and technology",smart cities,9/3/2025 11:30am,https://airtable.com/appo1YECtG1ULR8vU/shrEIsJmUwXgiGlIT/tblFh8L3QnynXlssD/recGaoI2c0eUVxC4y,,,,,,,,,,,,
Executive Order,Virginia,Executive Order 8-2014 (2014),Executive Order 8-2014 (2014),2014,"EO 8-2014 (2014) by Gov. Terry McAuliffe re: launch of ""Cyber Virginia"" and establishment of the Virginia Cyber Security Commission to (among other things) advise on and improve the Commonwealth's approach to cybersecurity",cybersecurity,9/25/2025 6:27am,https://airtable.com/appo1YECtG1ULR8vU/shrEIsJmUwXgiGlIT/tblFh8L3QnynXlssD/recYul21i18kiX40Y,,,,,,,,,,,,
Executive Order,Virginia,Executive Order 2-2014 (2014),Executive Order 2-2014 (2014),2021,EO 2-2014 (2014) by Gov. Terry McAuliffe re: directive to assess and and evaluate major information technology and service contracts due to a concern that state government is inappropriately dependent on expensive contract labor when traditionally appointed state employees can perform at a higher level and a lower cost,"procurement, information technology",9/25/2025 6:27am,https://airtable.com/appo1YECtG1ULR8vU/shrEIsJmUwXgiGlIT/tblFh8L3QnynXlssD/reccArqbcFDMgSXS1,,,,,,,,,,,,
Executive Order,Virginia,Executive Order 39-2015 (2015),Executive Order 39-2015 (2015),2015,"EO 39-2015 (2015) by Gov. Terry McAuliffe re: establishment of the Virginia Cyber Security Commission to (among other things) identify high risk cyber security issues facing the Commonwealth; provide advice and recommendations related to securing Virginia's state networks, systems, and data; and provide suggestions for the addition of cyber security to Virginia's Emergency Management and Disaster Response capabilities.","procurement, information technology, interoperability",9/25/2025 6:27am,https://airtable.com/appo1YECtG1ULR8vU/shrEIsJmUwXgiGlIT/tblFh8L3QnynXlssD/receXJcYVghGgvBoO,,,,,,,,,,,,
Executive Order,Virginia,Executive Order 30 (2024),Executive Order 30 (2024),2024,"EO 30 (2024) by Gov. Glenn Youngkin re: implementation of standards for the safe use of artificial intelligence across the commonwealth. Directs the creation of an AI task force, and includes education guidelines that require K-12 and postsecondary institutions to embrace innovations while recognizing guardrails.",artificial intelligence,9/3/2025 11:32am,https://airtable.com/appo1YECtG1ULR8vU/shrEIsJmUwXgiGlIT/tblFh8L3QnynXlssD/recLfAMgvhAysgSiq,,,,,,,,,,,,
Executive Order,Virginia,Executive Order 2-2014 (2014),Executive Order 2-2014 (2014),2021,EO 2-2014 (2014) by Gov. Terry McAuliffe re: directive to assess and and evaluate major information technology and service contracts due to a concern that state government is inappropriately dependent on expensive contract labor when traditionally appointed state employees can perform at a higher level and a lower cost,"procurement, information technology",9/3/2025 11:32am,https://airtable.com/appo1YECtG1ULR8vU/shrEIsJmUwXgiGlIT/tblFh8L3QnynXlssD/reccArqbcFDMgSXS1,,,,,,,,,,,,
Executive Order,Virginia,Executive Order 6-2015 (2015),Executive Order 6-2015 (2015),2015,EO 6-2015 (2015) by Gov. Terry McAuliffe re: expanding cyber-related risk management activities,cybersecurity,9/3/2025 11:30am,https://airtable.com/appo1YECtG1ULR8vU/shrEIsJmUwXgiGlIT/tblFh8L3QnynXlssD/recGsoL3uDEulGeOF,,,,,,,,,,,,
Executive Order,Virginia,Executive Order 39-2015 (2015),Executive Order 39-2015 (2015),2015,"EO 39-2015 (2015) by Gov. Terry McAuliffe re: establishment of the Virginia Cyber Security Commission to (among other things) identify high risk cyber security issues facing the Commonwealth; provide advice and recommendations related to securing Virginia's state networks, systems, and data; and provide suggestions for the addition of cyber security to Virginia's Emergency Management and Disaster Response capabilities.","procurement, information technology, interoperability",9/3/2025 11:30am,https://airtable.com/appo1YECtG1ULR8vU/shrEIsJmUwXgiGlIT/tblFh8L3QnynXlssD/receXJcYVghGgvBoO,,,,,,,,,,,,
Executive Order,Virginia,Executive Order 8-2014 (2014),Executive Order 8-2014 (2014),2014,"EO 8-2014 (2014) by Gov. Terry McAuliffe re: launch of ""Cyber Virginia"" and establishment of the Virginia Cyber Security Commission to (among other things) advise on and improve the Commonwealth's approach to cybersecurity",cybersecurity,9/3/2025 11:30am,https://airtable.com/appo1YECtG1ULR8vU/shrEIsJmUwXgiGlIT/tblFh8L3QnynXlssD/recYul21i18kiX40Y,,,,,,,,,,,,
